warehouse,product,supplier,stock_level,reorder_level,last_updated,transport_cost
WH-B,Mobile,Supplier-Y,746.0,432,2026-01-07,2783.31
WH-B,Mouse,Supplier-V,690.0,83,2026-03-23,2026.57
WH-E,Mobile,Supplier-Y,60.0,430,2024-09-19,4270.5
WH-A,Mobile,Supplier-W,227.0,80,2025-08-30,1979.8
WH-D,Mouse,Supplier-Y,552.0,46,2025-03-12,4968.71
WH-E,Mobile,Supplier-Z,170.0,136,2026-05-28,3255.1
WH-A,Laptop,Supplier-W,48.0,158,2024-11-07,2105.88
WH-B,Keyboard,Supplier-V,556.0,365,2025-02-15,3062.29
WH-B,Laptop,Supplier-V,961.0,322,2025-06-30,1369.0
WH-A,Keyboard,Supplier-Y,217.0,305,2025-08-09,2067.21
WH-D,Mobile,Supplier-Y,575.0,206,2025-12-02,2205.35
WH-C,Tablet,Supplier-Z,140.0,395,2025-03-17,2348.32
WH-E,Printer,Supplier-W,221.0,104,2025-05-18,1248.96
WH-B,Laptop,Supplier-Y,37.0,350,2026-04-04,3661.64
WH-C,Mouse,Supplier-Y,490.0,29,2025-05-21,899.4
WH-D,Mobile,Supplier-X,144.0,13,2024-09-23,4292.83
WH-D,Tablet,Supplier-W,46.0,495,2025-06-14,3795.24
WH-B,Mouse,Supplier-Y,93.0,343,2025-02-04,864.05
WH-D,Printer,Supplier-Y,775.0,166,2026-04-17,4327.54
WH-C,Router,Supplier-V,6.0,152,2026-06-22,3559.26
WH-A,Mouse,Supplier-X,230.0,255,2025-09-15,3760.97
WH-D,Tablet,Supplier-X,503.0,302,2026-06-01,1582.93
WH-B,Monitor,Supplier-W,240.0,317,2025-02-14,2413.69
WH-B,Monitor,Supplier-Y,493.0,116,2025-03-16,3107.37
WH-C,Router,Supplier-V,324.0,176,2026-01-26,2094.69
WH-B,Laptop,Supplier-V,591.0,313,2026-03-25,827.25
WH-D,Laptop,Supplier-W,784.0,227,2025-04-05,1572.82
WH-C,Router,Supplier-X,322.0,247,2025-06-11,1986.34
WH-D,Printer,Supplier-Y,195.0,24,2025-10-26,3242.0
WH-B,Tablet,Supplier-Y,261.0,378,2025-10-05,2748.68
WH-A,Router,Supplier-X,442.0,201,2026-02-18,2878.71
WH-B,Laptop,Supplier-Z,834.0,467,2026-02-18,2777.55
WH-E,Tablet,Supplier-V,720.0,67,2025-08-21,2453.16
WH-A,Printer,Supplier-W,94.0,468,2024-09-15,1262.32
WH-E,Monitor,Supplier-Y,130.0,411,2025-08-09,4075.69
WH-D,Laptop,Supplier-W,712.0,99,2024-10-23,2494.72
WH-C,Mouse,Supplier-W,270.0,396,2026-06-18,4036.81
WH-E,Printer,Supplier-X,392.0,421,2026-04-08,1335.24
WH-E,Mobile,Supplier-Z,6.0,494,2024-07-29,2240.98
WH-E,Tablet,Supplier-Y,274.0,111,2024-07-22,3179.14
WH-D,Keyboard,Supplier-W,44.0,290,2024-07-09,4742.48
WH-B,Keyboard,Supplier-V,14.0,419,2026-06-22,2305.72
WH-C,Printer,Supplier-V,406.0,244,2026-02-27,1888.78
WH-E,Keyboard,Supplier-Z,140.0,444,2024-09-24,4785.39
WH-C,Printer,Supplier-Z,216.0,168,2024-11-09,619.07
WH-C,Router,Supplier-Z,523.0,390,2025-06-01,1042.93
WH-D,Tablet,Supplier-Z,64.0,340,2025-08-29,3290.32
WH-D,Printer,Supplier-X,247.0,212,2026-03-03,3660.47
WH-C,Monitor,Supplier-V,521.0,249,2024-11-10,783.4
WH-C,Router,,,22,2025-04-07,
WH-C,Tablet,Supplier-V,928.0,495,2026-06-22,4784.06
WH-B,Mobile,Supplier-V,324.0,0,2025-03-27,4299.26
WH-B,Tablet,Supplier-V,1.0,257,2025-10-11,3341.78
WH-D,Router,Supplier-V,825.0,138,2025-01-17,2174.46
WH-C,Monitor,Supplier-X,271.0,308,2024-07-04,2642.25
WH-B,Keyboard,Supplier-X,650.0,154,2024-07-06,4805.89
WH-A,Mobile,Supplier-W,526.0,286,2024-07-11,1564.93
WH-E,Mobile,Supplier-X,703.0,277,2024-10-24,5216.38
WH-A,Monitor,Supplier-X,501.0,146,2024-08-01,5035.34
WH-B,Laptop,Supplier-V,375.0,325,2026-02-01,4828.21
WH-B,Laptop,Supplier-V,131.0,348,2025-10-20,3014.93
WH-D,Monitor,Supplier-Z,442.0,43,2026-05-03,2973.59
WH-D,Monitor,Supplier-Z,163.0,182,2025-02-26,3253.89
WH-B,Mobile,Supplier-V,407.0,296,2025-06-04,5019.3
WH-E,Printer,Supplier-Z,81.0,287,2025-05-12,1463.08
WH-C,Printer,Supplier-V,744.0,304,2026-01-12,3724.0
WH-A,Monitor,Supplier-V,718.0,423,2024-07-10,909.27
WH-C,Monitor,Supplier-Z,300.0,75,2024-07-23,4273.33
WH-C,Tablet,Supplier-Z,92.0,491,2025-06-16,2545.98
WH-B,Laptop,Supplier-Z,792.0,296,2025-01-01,1393.14
WH-A,Mouse,Supplier-X,887.0,368,2024-11-26,2925.78
WH-D,Printer,Supplier-X,549.0,413,2026-03-26,2323.96
WH-E,Tablet,Supplier-X,668.0,198,2026-04-30,2654.36
WH-A,Mobile,Supplier-Z,438.0,440,2025-12-08,4437.91
WH-E,Mobile,,,427,2026-06-11,
WH-C,Mobile,Supplier-W,906.0,286,2024-12-03,987.71
WH-E,Router,Supplier-X,646.0,233,2024-09-03,1580.08
WH-A,Mouse,Supplier-Z,564.0,325,2024-11-01,2849.91
WH-E,Mobile,Supplier-Y,190.0,149,2024-09-25,1095.16
WH-D,Router,Supplier-W,898.0,274,2025-03-17,4733.03
WH-C,Tablet,Supplier-Y,459.0,281,2025-07-24,3559.27
WH-D,Mouse,Supplier-V,59.0,420,2024-08-27,3478.57
WH-A,Router,Supplier-Z,762.0,27,2025-07-11,4313.63
WH-C,Keyboard,Supplier-X,977.0,482,2025-11-28,2037.81
WH-D,Router,Supplier-V,191.0,152,2025-05-15,2235.46
WH-D,Tablet,Supplier-Z,290.0,481,2024-10-11,4983.26
WH-C,Monitor,Supplier-X,724.0,447,2024-08-25,953.85
WH-C,Router,Supplier-V,390.0,233,2025-04-19,2162.64
WH-D,Mobile,Supplier-W,166.0,363,2024-09-17,1425.59
WH-D,Laptop,Supplier-X,90.0,114,2025-08-16,971.07
WH-E,Tablet,Supplier-Z,275.0,329,2026-05-01,4401.29
WH-B,Monitor,Supplier-Y,233.0,260,2024-09-18,3123.69
WH-D,Laptop,Supplier-V,439.0,277,2025-10-25,2457.69
WH-E,Tablet,Supplier-Z,996.0,42,2025-12-29,1061.4
WH-D,Mobile,Supplier-Z,704.0,417,2025-10-07,2499.06
WH-B,Mobile,Supplier-W,100.0,486,2026-01-31,2385.0
WH-C,Mobile,Supplier-V,388.0,236,2024-07-03,784.47
WH-B,Keyboard,Supplier-X,559.0,281,2025-01-14,961.48
WH-A,Router,Supplier-W,698.0,267,2024-11-07,1474.07
WH-C,Printer,Supplier-W,35.0,333,2026-01-14,4297.39
WH-C,Keyboard,Supplier-Z,248.0,128,2026-01-23,2859.61
WH-E,Router,Supplier-V,986.0,26,2024-11-07,2795.72
WH-B,Laptop,Supplier-Y,575.0,293,2024-12-13,4254.0
WH-A,Monitor,Supplier-W,724.0,267,2026-03-05,2451.33
WH-C,Laptop,Supplier-Y,895.0,47,2024-10-27,2967.55
WH-B,Printer,Supplier-Z,621.0,446,2026-03-28,1845.43
WH-E,Router,Supplier-Z,431.0,365,2024-11-28,3503.74
WH-C,Mouse,Supplier-V,512.0,350,2025-01-15,4337.83
WH-D,Tablet,Supplier-Z,255.0,142,2024-07-28,854.1
WH-B,Printer,,,84,2025-11-28,
WH-C,Keyboard,Supplier-W,256.0,148,2024-12-05,4431.53
WH-E,Mobile,Supplier-Y,36.0,233,2026-03-05,3007.26
WH-D,Keyboard,Supplier-Y,50.0,243,2024-12-06,3381.94
WH-C,Mobile,Supplier-V,837.0,83,2025-03-05,5129.5
WH-A,Tablet,Supplier-X,364.0,147,2026-06-25,2182.93
WH-E,Printer,Supplier-Z,646.0,361,2024-09-10,903.93
WH-E,Printer,Supplier-W,402.0,234,2024-09-15,2987.15
WH-D,Mouse,Supplier-V,246.0,176,2025-05-23,785.2
WH-A,Tablet,Supplier-V,331.0,236,2025-09-09,951.83
WH-C,Router,Supplier-V,823.0,298,2025-05-28,1689.94
WH-C,Keyboard,Supplier-Y,611.0,317,2024-08-08,5244.35
WH-B,Keyboard,Supplier-Y,443.0,252,2024-09-22,4572.64
WH-B,Keyboard,Supplier-X,288.0,8,2025-03-10,1084.56
WH-A,Monitor,Supplier-Y,117.0,166,2024-12-08,1862.45
WH-B,Laptop,Supplier-W,395.0,162,2025-05-26,4203.75
WH-D,Tablet,Supplier-W,761.0,244,2025-05-28,5093.14
WH-D,Mobile,Supplier-X,850.0,376,2026-05-20,2355.83
WH-B,Laptop,Supplier-W,158.0,476,2026-04-27,4413.29
WH-A,Monitor,Supplier-V,680.0,264,2026-05-10,2437.88
WH-B,Tablet,Supplier-W,146.0,333,2025-09-07,1411.73
WH-A,Monitor,Supplier-Z,214.0,161,2024-11-15,2282.28
WH-C,Router,Supplier-X,731.0,482,2024-10-22,2986.39
WH-C,Monitor,Supplier-Z,690.0,35,2025-12-16,2761.11
WH-B,Router,Supplier-Y,974.0,252,2025-12-12,5292.07
WH-E,Router,Supplier-W,552.0,38,2025-04-09,2798.32
WH-E,Laptop,Supplier-V,532.0,441,2025-04-29,811.32
WH-C,Mobile,Supplier-Y,616.0,279,2025-01-06,5191.58
WH-A,Laptop,Supplier-V,674.0,65,2024-09-06,2261.06
WH-C,Mouse,Supplier-Z,192.0,359,2025-01-06,4788.78
WH-B,Printer,Supplier-Z,976.0,300,2025-09-10,1373.16
WH-D,Tablet,Supplier-Y,977.0,320,2025-10-11,3917.12
WH-B,Laptop,Supplier-W,355.0,235,2025-07-23,4846.82
WH-D,Mouse,Supplier-X,618.0,68,2025-04-10,3308.59
WH-B,Monitor,Supplier-Y,96.0,135,2026-04-05,4169.03
WH-E,Printer,Supplier-V,253.0,84,2025-05-09,4355.02
WH-C,Laptop,Supplier-Z,200.0,140,2026-06-05,5058.62
WH-A,Mobile,Supplier-V,411.0,295,2025-07-14,3220.06
WH-A,Laptop,,,170,2025-07-09,
WH-A,Router,Supplier-Z,37.0,444,2024-08-06,3795.87
WH-C,Mouse,Supplier-Z,210.0,278,2025-11-18,3422.33
WH-E,Mobile,Supplier-X,794.0,490,2025-02-28,4088.4
WH-D,Laptop,Supplier-V,392.0,6,2024-10-18,4415.27
WH-A,Tablet,Supplier-X,509.0,95,2025-05-23,2718.04
WH-E,Mouse,Supplier-V,752.0,249,2025-12-06,1842.69
WH-C,Router,Supplier-Z,462.0,490,2025-09-12,3749.03
WH-A,Tablet,Supplier-X,57.0,9,2025-11-12,4660.35
WH-A,Tablet,Supplier-Y,470.0,468,2026-02-20,4118.47
WH-D,Mouse,Supplier-X,306.0,165,2025-11-25,3296.34
WH-E,Tablet,Supplier-Z,537.0,104,2025-03-22,5174.92
WH-A,Printer,Supplier-W,733.0,209,2025-06-17,945.77
WH-E,Mouse,Supplier-V,762.0,191,2025-03-24,2271.96
WH-D,Printer,Supplier-V,812.0,235,2025-12-29,2900.81
WH-A,Keyboard,Supplier-Z,395.0,304,2026-03-16,1650.06
WH-E,Printer,Supplier-Y,45.0,88,2026-03-29,4861.69
WH-A,Tablet,Supplier-X,27.0,370,2025-09-28,3518.43
WH-B,Tablet,Supplier-Z,561.0,279,2024-11-19,4809.23
WH-B,Keyboard,Supplier-Z,938.0,60,2025-02-11,4967.43
WH-B,Mouse,Supplier-Z,510.0,300,2024-08-13,2844.71
WH-B,Laptop,Supplier-X,393.0,252,2025-03-20,4063.22
WH-E,Monitor,Supplier-Z,329.0,437,2024-09-15,2252.48
WH-A,Printer,Supplier-Z,54.0,350,2025-12-31,894.65
WH-E,Printer,Supplier-X,288.0,31,2026-03-24,1709.34
WH-B,Laptop,Supplier-Z,601.0,224,2026-02-09,1848.86
WH-B,Printer,Supplier-Y,52.0,458,2025-06-10,4889.69
WH-E,Tablet,Supplier-X,647.0,126,2024-11-24,3653.03
WH-C,Tablet,Supplier-X,772.0,262,2026-05-29,2900.73
WH-C,Tablet,Supplier-Z,243.0,66,2026-01-06,2547.99
WH-A,Monitor,Supplier-X,408.0,426,2025-07-12,4980.69
WH-E,Mouse,Supplier-Y,923.0,87,2026-05-01,4288.17
WH-B,Router,Supplier-X,729.0,326,2025-04-01,884.22
WH-D,Mouse,Supplier-Z,339.0,270,2026-03-18,4342.64
WH-B,Keyboard,Supplier-Y,543.0,381,2025-04-05,3744.1
WH-E,Mouse,Supplier-Y,16.0,178,2025-04-27,4523.9
WH-E,Mouse,,,338,2025-07-17,
WH-C,Router,Supplier-Y,26.0,17,2025-01-29,1072.54
WH-E,Laptop,Supplier-X,811.0,454,2026-05-05,5302.13
WH-A,Printer,Supplier-W,933.0,267,2024-09-17,4147.19
WH-B,Router,Supplier-V,532.0,249,2026-05-19,4019.37
WH-A,Monitor,Supplier-W,709.0,265,2025-03-24,3222.44
WH-B,Printer,Supplier-Z,215.0,181,2025-03-05,831.82
WH-A,Keyboard,Supplier-Y,894.0,106,2025-08-16,5272.36
WH-B,Monitor,Supplier-Z,547.0,67,2025-12-16,1629.04
WH-E,Tablet,Supplier-X,418.0,191,2024-07-20,1818.95
WH-D,Printer,Supplier-W,617.0,95,2024-08-13,1627.74
WH-B,Monitor,Supplier-Y,163.0,320,2024-11-21,4464.56
WH-E,Keyboard,Supplier-Z,31.0,326,2025-06-02,2512.63
WH-A,Router,Supplier-X,908.0,440,2024-11-18,5085.61
WH-C,Monitor,Supplier-V,541.0,169,2026-04-17,2964.74
WH-E,Mobile,Supplier-V,474.0,65,2025-11-17,4881.41
WH-B,Mobile,Supplier-Z,827.0,186,2025-06-20,2911.31
WH-B,Mouse,Supplier-V,683.0,153,2024-08-05,2311.83
WH-E,Mobile,Supplier-W,758.0,325,2024-09-03,2101.67
WH-A,Mouse,Supplier-W,615.0,17,2024-07-10,3962.69
WH-D,Laptop,Supplier-W,242.0,216,2026-05-28,2164.69
WH-E,Laptop,Supplier-Y,125.0,306,2025-07-26,4721.95
WH-B,Router,Supplier-Y,345.0,18,2026-03-12,4131.62
WH-D,Keyboard,Supplier-W,797.0,45,2024-07-26,3354.47
WH-D,Router,Supplier-Z,274.0,449,2024-11-19,922.85
WH-B,Printer,,,325,2024-10-14,
WH-A,Laptop,Supplier-W,914.0,30,2026-04-30,3112.64
WH-C,Tablet,Supplier-Z,940.0,358,2024-07-03,2493.22
WH-D,Laptop,Supplier-Y,224.0,471,2025-12-30,4059.62
WH-D,Router,Supplier-Z,500.0,413,2025-02-26,1183.46
WH-E,Mouse,Supplier-Z,859.0,18,2025-07-25,1880.87
WH-C,Mouse,Supplier-W,220.0,81,2025-09-05,4935.7
WH-B,Mobile,Supplier-W,484.0,413,2025-11-06,3881.21
WH-E,Laptop,Supplier-V,434.0,147,2025-01-10,1271.3
WH-E,Keyboard,Supplier-Z,795.0,79,2025-09-10,4463.6
WH-E,Keyboard,Supplier-Z,482.0,291,2025-05-11,4300.9
WH-B,Mobile,Supplier-Y,995.0,156,2025-01-04,5180.75
WH-E,Laptop,Supplier-Y,399.0,328,2026-04-10,4602.9
WH-C,Tablet,Supplier-V,623.0,9,2025-09-06,4025.39
WH-E,Laptop,Supplier-Y,955.0,493,2025-07-06,3038.46
WH-A,Keyboard,Supplier-V,803.0,159,2024-08-24,4924.47
WH-B,Printer,Supplier-X,201.0,236,2025-02-13,3808.28
WH-A,Printer,Supplier-Z,841.0,159,2026-02-12,4220.23
WH-E,Printer,Supplier-W,384.0,113,2025-03-16,2768.15
WH-B,Keyboard,Supplier-W,458.0,38,2024-08-19,1830.16
WH-B,Laptop,Supplier-X,126.0,333,2025-03-07,3412.82
WH-E,Monitor,Supplier-X,36.0,65,2025-05-11,4532.75
WH-E,Printer,Supplier-V,252.0,268,2025-09-16,3912.23
WH-B,Printer,Supplier-Y,372.0,114,2025-02-19,1266.15
WH-B,Router,Supplier-W,652.0,324,2024-08-02,1407.11
WH-D,Printer,Supplier-Z,798.0,307,2024-12-21,3222.27
WH-C,Laptop,Supplier-Z,498.0,321,2025-08-06,2038.69
WH-D,Printer,Supplier-Z,836.0,384,2025-03-21,2847.41
WH-C,Router,Supplier-W,551.0,444,2025-05-21,5162.36
WH-A,Keyboard,Supplier-X,703.0,163,2025-08-10,4412.66
WH-B,Router,Supplier-W,893.0,189,2024-08-30,5352.23
WH-C,Laptop,Supplier-X,992.0,417,2025-08-21,5365.83
WH-C,Laptop,Supplier-Z,893.0,316,2025-12-08,1023.0
WH-C,Printer,Supplier-X,123.0,309,2024-07-20,1654.19
WH-E,Mouse,Supplier-X,705.0,443,2026-03-30,3458.83
WH-B,Mobile,Supplier-W,333.0,64,2025-04-13,4584.84
WH-D,Tablet,Supplier-W,524.0,167,2026-06-05,2219.57
WH-B,Router,Supplier-Y,309.0,231,2024-12-04,1151.6
WH-B,Monitor,Supplier-V,896.0,61,2025-06-15,5379.88
WH-B,Monitor,Supplier-V,24.0,385,2024-12-24,3983.79
WH-D,Printer,Supplier-W,139.0,344,2024-12-03,881.69
WH-C,Mobile,Supplier-W,598.0,489,2024-11-24,1410.8
WH-C,Mouse,Supplier-X,713.0,401,2026-04-29,4194.76
WH-E,Monitor,Supplier-W,886.0,433,2025-11-18,3200.09
WH-E,Monitor,Supplier-Y,520.0,391,2025-10-08,5057.82
WH-A,Printer,,,273,2026-01-08,
WH-C,Laptop,Supplier-W,127.0,324,2024-11-30,798.27
WH-C,Tablet,Supplier-Z,416.0,65,2025-10-14,4171.53
WH-D,Keyboard,Supplier-V,4.0,14,2025-02-15,3444.36
WH-D,Printer,Supplier-Z,91.0,65,2025-09-11,1295.78
WH-A,Monitor,Supplier-V,530.0,298,2026-04-19,1460.63
WH-E,Laptop,Supplier-Z,769.0,209,2025-10-22,2233.13
WH-B,Keyboard,Supplier-Y,687.0,265,2025-06-01,3935.82
WH-A,Mouse,Supplier-V,189.0,185,2025-02-18,765.2
WH-C,Monitor,Supplier-Y,478.0,315,2026-02-22,3862.82
WH-E,Mouse,Supplier-Z,758.0,168,2025-05-01,4534.55
WH-A,Printer,Supplier-Z,684.0,102,2025-05-04,2359.32
WH-C,Mobile,Supplier-Z,400.0,87,2025-11-16,2381.72
WH-E,Mouse,Supplier-Z,682.0,3,2024-08-31,4422.34
WH-D,Monitor,Supplier-V,954.0,268,2024-12-28,4784.56
WH-D,Keyboard,Supplier-Y,108.0,288,2025-02-13,3912.93
WH-D,Keyboard,Supplier-Z,542.0,372,2026-02-11,5063.95
WH-D,Monitor,Supplier-Y,935.0,254,2025-01-22,2693.41
WH-E,Tablet,Supplier-Z,725.0,247,2025-04-26,3608.26
WH-A,Mouse,Supplier-Z,549.0,351,2026-06-28,3549.52
WH-B,Mobile,Supplier-W,175.0,65,2025-12-26,4581.13
WH-B,Printer,Supplier-Y,130.0,454,2024-12-28,4638.45
WH-E,Tablet,Supplier-Z,68.0,490,2025-11-16,1565.22
WH-A,Tablet,Supplier-Z,161.0,340,2025-10-09,4746.58
WH-B,Keyboard,Supplier-V,281.0,444,2026-03-26,3769.78
WH-E,Monitor,Supplier-Z,777.0,455,2026-06-06,2501.11
WH-A,Monitor,Supplier-Y,48.0,53,2026-06-27,3196.19
WH-A,Monitor,Supplier-W,753.0,128,2025-08-31,4490.12
WH-C,Keyboard,Supplier-W,171.0,68,2025-03-01,1705.42
WH-E,Keyboard,Supplier-W,2.0,352,2025-05-21,3850.86
WH-C,Mobile,Supplier-W,704.0,162,2024-12-05,4546.21
WH-D,Keyboard,Supplier-X,433.0,40,2025-12-16,5130.69
WH-A,Mobile,Supplier-X,475.0,316,2025-01-24,4239.73
WH-E,Monitor,Supplier-Y,589.0,240,2026-02-10,3907.44
WH-C,Monitor,Supplier-V,777.0,224,2024-11-05,3782.79
WH-C,Keyboard,Supplier-W,309.0,276,2024-10-11,1282.55
WH-E,Keyboard,Supplier-X,757.0,248,2026-05-30,1535.9
WH-D,Keyboard,Supplier-Z,272.0,142,2024-12-20,637.2
WH-A,Mouse,Supplier-V,619.0,31,2025-04-01,2241.18
WH-C,Mobile,,,333,2026-06-20,
WH-A,Mobile,Supplier-X,120.0,265,2025-09-24,1853.19
WH-D,Monitor,Supplier-W,620.0,261,2026-04-01,2483.02
WH-B,Mouse,Supplier-W,127.0,70,2024-09-16,3026.4
WH-D,Keyboard,Supplier-W,225.0,154,2025-06-13,4034.18
WH-C,Keyboard,Supplier-X,706.0,19,2025-03-03,2397.61
WH-D,Tablet,Supplier-V,715.0,283,2026-06-19,4665.14
WH-C,Monitor,Supplier-Y,733.0,493,2026-02-21,1018.15
WH-E,Printer,Supplier-Z,779.0,174,2025-06-04,2340.37
WH-B,Mouse,Supplier-X,693.0,126,2026-03-09,2762.18
WH-B,Mobile,Supplier-Z,971.0,211,2024-08-28,2471.58
WH-D,Mobile,Supplier-W,996.0,14,2024-11-03,5024.24
WH-E,Laptop,Supplier-Z,789.0,311,2025-05-24,5027.93
WH-E,Laptop,Supplier-Z,939.0,80,2025-10-10,2176.14
WH-E,Laptop,Supplier-Z,283.0,96,2024-09-06,926.16
WH-C,Monitor,Supplier-Y,541.0,490,2025-11-13,1962.58
WH-B,Keyboard,Supplier-Y,122.0,43,2024-12-12,3738.72
WH-E,Keyboard,Supplier-Y,162.0,454,2026-06-13,2782.95
WH-D,Printer,Supplier-Z,622.0,201,2024-07-25,4243.84
WH-D,Router,Supplier-Z,219.0,3,2025-06-14,1046.08
WH-C,Monitor,Supplier-X,467.0,364,2024-10-13,4912.06
WH-E,Monitor,Supplier-Z,175.0,212,2025-01-28,3212.05
WH-C,Mobile,Supplier-X,461.0,123,2026-04-06,1205.45
WH-B,Printer,Supplier-V,624.0,402,2026-02-06,4172.86
WH-D,Tablet,Supplier-X,144.0,253,2025-08-28,4040.28
WH-E,Mobile,Supplier-Z,584.0,409,2024-12-12,2607.74
WH-C,Router,Supplier-X,467.0,448,2025-09-22,3006.48
WH-A,Mouse,Supplier-Z,1.0,486,2025-12-13,2821.47
WH-D,Monitor,Supplier-W,90.0,18,2025-09-23,4047.64
WH-D,Keyboard,Supplier-Y,916.0,405,2025-02-19,4273.21
WH-C,Router,Supplier-X,116.0,231,2024-09-06,1716.43
WH-E,Printer,Supplier-W,236.0,10,2025-01-16,4017.13
WH-A,Router,Supplier-X,120.0,29,2025-05-15,3299.3
WH-E,Mouse,Supplier-X,431.0,21,2024-07-07,1006.5
WH-D,Mobile,Supplier-W,531.0,406,2024-10-12,4014.13
WH-C,Laptop,Supplier-X,785.0,419,2025-06-06,979.77
WH-B,Printer,Supplier-Y,25.0,480,2025-09-29,4649.89
WH-C,Tablet,Supplier-V,668.0,337,2024-07-10,3207.89
WH-D,Tablet,Supplier-V,578.0,222,2025-01-14,4762.19
WH-C,Router,Supplier-Y,215.0,299,2025-05-13,4618.21
WH-D,Mobile,Supplier-Y,782.0,247,2024-10-13,3778.03
WH-D,Tablet,Supplier-W,19.0,186,2024-11-28,3944.93
WH-A,Keyboard,Supplier-W,667.0,493,2026-04-17,1349.3
WH-D,Monitor,Supplier-V,821.0,407,2026-04-29,4563.39
WH-B,Mobile,Supplier-X,242.0,174,2025-09-01,3332.23
WH-D,Router,Supplier-Y,502.0,333,2024-12-02,1124.92
WH-B,Laptop,Supplier-V,647.0,432,2025-01-11,3632.53
WH-A,Laptop,Supplier-X,74.0,437,2025-06-28,731.7
WH-A,Keyboard,Supplier-X,347.0,301,2025-04-05,5080.32
WH-D,Printer,Supplier-X,736.0,461,2024-08-18,4437.53
WH-A,Mouse,Supplier-W,276.0,413,2026-05-29,3359.23
WH-C,Mouse,Supplier-X,404.0,365,2024-10-21,1687.08
WH-C,Keyboard,,,284,2026-03-24,
WH-D,Router,Supplier-Z,142.0,252,2025-03-26,4803.12
WH-A,Laptop,Supplier-X,421.0,483,2026-01-23,4045.77
WH-B,Printer,Supplier-Y,285.0,350,2025-01-29,1584.57
WH-D,Laptop,Supplier-X,880.0,426,2024-09-08,1846.91
WH-A,Monitor,Supplier-Y,403.0,483,2025-10-14,916.55
WH-D,Mobile,Supplier-Y,776.0,416,2025-04-09,2218.88
WH-B,Tablet,Supplier-X,766.0,39,2025-11-06,3435.79
WH-A,Keyboard,Supplier-V,753.0,399,2025-07-18,3988.25
WH-A,Mouse,Supplier-W,296.0,61,2025-12-16,5127.8
WH-D,Monitor,Supplier-Z,164.0,283,2025-09-01,4353.56
WH-D,Mobile,Supplier-V,238.0,491,2026-05-01,3998.6
WH-E,Monitor,Supplier-X,944.0,124,2025-04-13,2066.97
WH-A,Laptop,Supplier-Z,926.0,314,2025-01-29,3270.59
WH-E,Laptop,Supplier-V,794.0,181,2025-05-21,5180.25
WH-E,Monitor,Supplier-V,890.0,158,2024-11-19,5092.82
WH-A,Mobile,Supplier-V,112.0,56,2025-08-03,2277.35
WH-E,Monitor,Supplier-W,915.0,240,2025-10-27,4987.94
WH-C,Mobile,Supplier-Z,744.0,290,2026-06-22,3275.84
WH-C,Keyboard,Supplier-X,485.0,261,2026-04-02,4663.52
WH-A,Tablet,Supplier-X,303.0,230,2025-06-21,4158.56
WH-B,Keyboard,Supplier-Z,693.0,259,2025-06-15,3397.2
WH-C,Keyboard,Supplier-W,70.0,242,2024-10-27,2218.82
WH-B,Laptop,Supplier-Y,848.0,144,2025-05-22,2280.67
WH-B,Laptop,Supplier-Z,555.0,273,2026-06-26,797.6
WH-D,Monitor,Supplier-Y,273.0,84,2025-12-03,4121.95
WH-A,Router,Supplier-X,856.0,338,2024-11-26,4194.03
WH-C,Monitor,Supplier-X,763.0,32,2025-04-01,1011.59
