tenant_id,tenant_name,tenant_status
TNT-0106,"Schmidt, Evans and Welch ",Suspended
TNT-0107,"Hart, Hodge and Clarke ",Suspended
TNT-0108,Hunter Ltd ,Active
TNT-0109,Cohen-Stephens ,Active
TNT-0110,Todd-West ,Inactive
TNT-0111,Moore-Rodriguez ,Active
TNT-0112,Bailey PLC ,Inactive
TNT-0113,Thompson PLC ,Inactive
TNT-0114,Stephens-Davis ,Active
TNT-0115,"Pham, Murphy and Mason ",Suspended
TNT-0116,Chan Inc ,Active
TNT-0117,"Ray, Hunter and Reyes ",Inactive
TNT-0118,Mcdaniel Inc ,Active
TNT-0119,"Martinez, Townsend and Peterson ",Active
TNT-0120,"Hansen, Walters and Christensen ",Suspended
TNT-0121,Benton-Giles ,Inactive
TNT-0122,Sherman-Garcia ,Active
TNT-0123,Drake Ltd ,Inactive
TNT-0124,"Hernandez, Smith and Day ",Active
TNT-0125,White Group ,Suspended
TNT-0126,Williams-Moore ,Inactive
TNT-0127,Alvarado Group ,Active
TNT-0128,Tran-Hall ,Suspended
TNT-0129,Williams-Black ,Inactive
TNT-0130,"Thomas, Carpenter and Morgan ",Active
TNT-0131,"Benton, Combs and Carter ",Suspended
TNT-0132,Leonard and Sons ,Active
TNT-0133,Davis-Silva ,Suspended
TNT-0134,Jones PLC ,Suspended
TNT-0135,Brooks Group ,Inactive
TNT-0136,Rose Ltd ,Active
TNT-0137,Taylor Ltd ,Active
TNT-0138,Knight and Sons ,Inactive
TNT-0139,"Brown, Kim and Smith ",Active
TNT-0140,James LLC ,Active
TNT-0141,"Lopez, Nash and Williams ",Active
TNT-0142,Martinez-Lee ,Inactive
TNT-0143,Singh PLC ,Active
TNT-0144,Morse Inc ,Active
TNT-0145,"Adams, Grant and Smith ",Inactive
TNT-0146,Farley Ltd ,Active
TNT-0147,Walker-Barton ,Active
TNT-0148,Davis Ltd ,Inactive
TNT-0149,Garrett Ltd ,Suspended
TNT-0150,"Ferguson, Mcguire and Perez ",Suspended
TNT-0151,Gonzales and Sons ,Suspended
TNT-0152,"Turner, Trujillo and Mcgee ",Active
TNT-0153,Young-Chambers ,Active
TNT-0154,Nelson Inc ,Inactive
TNT-0155,Ross-Cantu ,Suspended
TNT-0156,Friedman and Sons ,Inactive
TNT-0157,"Little, Higgins and Duffy ",Suspended
TNT-0158,Daniels-Wood ,Active
TNT-0159,Ramirez and Sons ,Active
TNT-0160,Brown-Jensen ,Inactive
TNT-0161,"Bolton, White and Powell ",Suspended
TNT-0162,Chen and Sons ,Suspended
TNT-0163,Taylor Inc ,Suspended
TNT-0164,"Golden, Macdonald and Palmer ",Suspended
TNT-0165,"Ross, Walker and Butler ",Active
TNT-0166,Martinez-Mills ,Active
TNT-0167,"Rogers, Mccall and Bender ",Suspended
TNT-0168,Graham-Jensen ,Suspended
TNT-0169,Mendez-Campbell ,Active
TNT-0170,"Rivera, York and Norton ",Inactive
TNT-0171,Neal-Rodriguez ,Suspended
TNT-0172,Ramos and Sons ,Suspended
TNT-0173,Green and Sons ,Suspended
TNT-0174,Thomas-Price ,Active
TNT-0175,"Mejia, May and Nelson ",Suspended
TNT-0176,Mccarthy Ltd ,Suspended
TNT-0177,Mitchell LLC ,Active
TNT-0178,Williams-Nichols ,Active
TNT-0179,Garcia Group ,Active
TNT-0180,"Parker, Acosta and Swanson ",Inactive
TNT-0181,Gonzalez-Greene ,Suspended
TNT-0182,"Joseph, Bowman and Thompson ",Active
TNT-0183,"Wood, Jackson and Smith ",Inactive
TNT-0184,Shelton PLC ,Suspended
TNT-0185,Mason Inc ,Active
TNT-0186,Davis Ltd ,Inactive
TNT-0187,"Jones, Golden and Lopez ",Active
TNT-0188,Kim-Tran ,Suspended
TNT-0189,Horn-Gonzalez ,Inactive
TNT-0190,Hall-Walker ,Active
TNT-0191,Freeman and Sons ,Active
TNT-0192,Watkins-Nguyen ,Suspended
TNT-0193,"Summers, Copeland and Fletcher ",Inactive
TNT-0194,Bryant-James ,Suspended
TNT-0195,"Duarte, York and Johnson ",Inactive
TNT-0196,Johnson-Harmon ,Inactive
TNT-0197,Roberts and Sons ,Inactive
TNT-0198,Mckinney Ltd ,Inactive
TNT-0199,"Welch, Rodgers and Bridges ",Inactive
TNT-0200,"Wilson, Moore and Morrison ",Inactive
